user_id,login_frequency,avg_session_duration,actions_per_session,days_since_last_login,total_sessions,label
U27,29,55.75076414441159,48,1,97,high_activity
U327,2,6.477122650465743,4,26,3,low_activity
U354,15,33.37704241307791,26,6,64,irregular_usage
U306,4,3.1893018220249036,3,17,8,low_activity
U388,24,14.105895784434964,48,24,84,irregular_usage
U408,5,22.296749627348145,19,18,39,irregular_usage
U155,28,38.146287474592256,49,0,93,high_activity
U9,27,49.03054034104092,45,0,115,high_activity
U25,28,45.24596330222156,24,0,114,high_activity
U379,10,41.579476087766594,41,21,85,irregular_usage
U237,2,3.1993394187901902,1,15,4,low_activity
U272,1,9.878729591698676,1,19,1,low_activity
U193,2,8.516597761851056,2,17,14,low_activity
U293,3,5.619516129061547,2,16,9,low_activity
U98,26,59.83651532392023,22,0,117,high_activity
U369,17,45.08640415348959,46,23,14,irregular_usage
U274,4,2.9973014496261348,2,24,3,low_activity
U218,2,6.960582047428108,3,21,13,low_activity
U204,3,7.980875041410009,2,24,5,low_activity
U451,16,27.68947706918196,26,16,21,irregular_usage
U157,20,43.71795484841186,31,0,106,high_activity
U402,8,17.884144425560685,6,3,21,irregular_usage
U187,2,8.734630214066176,3,22,14,low_activity
U496,13,11.982562737815645,16,25,71,irregular_usage
U83,27,37.51385455816752,47,0,80,high_activity
U495,23,38.34321287730522,8,28,72,irregular_usage
U67,23,38.517629242123974,39,0,88,high_activity
U141,29,47.36594686522676,29,1,111,high_activity
U248,1,6.667134358128964,2,29,10,low_activity
U466,18,38.190226381090255,46,7,40,irregular_usage
U198,4,5.139560859381083,4,28,8,low_activity
U99,28,44.098335419728286,20,1,113,high_activity
U206,1,3.8577015611745384,3,19,1,low_activity
U40,23,36.27214862213141,24,1,105,high_activity
U180,3,2.994377787884358,1,16,5,low_activity
U319,3,5.776535560879994,1,27,5,low_activity
U2,23,34.442607898602,40,1,87,high_activity
U309,1,9.974994014767578,2,22,8,low_activity
U102,20,52.43156321692241,29,0,94,high_activity
U359,15,10.228392016720012,17,9,25,irregular_usage
U1,26,51.36811769773326,45,0,95,high_activity
U257,4,8.976991271553212,2,16,6,low_activity
U170,21,37.525815820399835,35,1,93,high_activity
U6,29,42.33111039954694,31,0,107,high_activity
U459,22,17.435713629381496,44,25,72,irregular_usage
U156,24,58.95755491172309,24,1,105,high_activity
U59,25,55.52785346302538,24,0,116,high_activity
U375,6,45.864888498124685,16,22,81,irregular_usage
U482,12,20.807805248837525,13,1,16,irregular_usage
U407,15,26.27466672240377,23,17,44,irregular_usage
U392,21,32.76817754688156,31,23,32,irregular_usage
U460,24,35.8572493302015,36,5,15,irregular_usage
U123,22,39.67652292715802,21,0,81,high_activity
U244,3,4.014392471255622,1,28,10,low_activity
U239,2,7.77802054714453,2,23,6,low_activity
U115,20,55.32639422178934,36,0,96,high_activity
U312,1,2.53661181910742,2,21,10,low_activity
U175,4,5.294727313178148,3,25,13,low_activity
U322,1,8.204220933560084,1,27,2,low_activity
U419,7,26.08604634367277,7,1,30,irregular_usage
U142,26,43.15422369054261,24,1,98,high_activity
U53,23,38.36614057776546,40,0,84,high_activity
U205,1,6.021763120739833,3,16,9,low_activity
U341,20,29.944407672567802,8,1,53,irregular_usage
U134,25,48.83683244845908,43,1,83,high_activity
U165,20,51.43785312539856,49,0,80,high_activity
U267,3,7.891553884997783,4,24,10,low_activity
U195,3,6.184523398152955,4,18,3,low_activity
U177,1,9.436233153982606,1,22,1,low_activity
U253,2,6.689838656134378,2,20,8,low_activity
U260,2,7.573206591015138,4,29,9,low_activity
U406,11,42.13532605999905,41,24,54,irregular_usage
U254,2,6.047109431075728,2,20,6,low_activity
U409,10,23.551938149230136,45,3,39,irregular_usage
U245,1,4.7655679480313555,4,22,11,low_activity
U96,29,53.056620429189266,24,1,117,high_activity
U355,17,39.47324845686329,43,23,89,irregular_usage
U26,20,50.87438420372646,41,0,85,high_activity
U446,7,37.83683322706461,48,9,34,irregular_usage
U417,8,48.67116190408303,1,2,82,irregular_usage
U396,5,53.73965810733915,34,26,15,irregular_usage
U434,19,47.71925466847895,35,13,74,irregular_usage
U303,2,7.308298976133685,2,26,11,low_activity
U276,2,8.959170896497026,2,28,6,low_activity
U300,1,6.644706802224348,4,22,8,low_activity
U410,19,54.38247818680289,11,9,87,irregular_usage
U432,21,53.56975470208198,26,9,45,irregular_usage
U15,25,32.425599789981455,41,1,115,high_activity
U279,4,5.192021630961042,2,21,13,low_activity
U199,1,8.532795515772616,4,25,14,low_activity
U91,22,50.067721789892985,20,1,100,high_activity
U33,24,32.88529653274262,38,0,84,high_activity
U163,28,33.982362667289095,22,0,105,high_activity
U68,27,39.1609158103318,29,1,80,high_activity
U447,21,21.259503211234744,2,21,88,irregular_usage
